Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,All,24
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,All,42
ACADEMY MULTILINGUAL ARTS SCI54627,Los Angeles,Los Angeles,enr,ACADEMY MULTILINGUAL ARTS SCI,All,3
ACADEMY MULTILINGUAL ARTS SCI54627,Los Angeles,Los Angeles,adm,ACADEMY MULTILINGUAL ARTS SCI,All,3
ACADEMY MULTILINGUAL ARTS SCI54627,Los Angeles,Los Angeles,app,ACADEMY MULTILINGUAL ARTS SCI,All,11
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,San Bernardino,enr,ACADEMY OF CAREERS/EXPLORATION,African American,
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,San Bernardino,adm,ACADEMY OF CAREERS/EXPLORATION,African American,5
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,San Bernardino,app,ACADEMY OF CAREERS/EXPLORATION,African American,5
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,San Bernardino,enr,ACADEMY OF CAREERS/EXPLORATION,All,4
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,San Bernardino,adm,ACADEMY OF CAREERS/EXPLORATION,All,10
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,San Bernardino,app,ACADEMY OF CAREERS/EXPLORATION,All,13
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,enr,ACADEMY OF MEDICAL ARTS AT CARSON,Asian,6
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,adm,ACADEMY OF MEDICAL ARTS AT CARSON,Asian,14
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,app,ACADEMY OF MEDICAL ARTS AT CARSON,Asian,23
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,enr,ACADEMY OF MEDICAL ARTS AT CARSON,Hispanic/ Latino,4
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,adm,ACADEMY OF MEDICAL ARTS AT CARSON,Hispanic/ Latino,10
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,app,ACADEMY OF MEDICAL ARTS AT CARSON,Hispanic/ Latino,15
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,enr,ACADEMY OF MEDICAL ARTS AT CARSON,All,10
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,adm,ACADEMY OF MEDICAL ARTS AT CARSON,All,26
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,app,ACADEMY OF MEDICAL ARTS AT CARSON,All,43
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,enr,ACADEMY OF SCIENTIFIC EXPLORAT,Hispanic/ Latino,7
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,adm,ACADEMY OF SCIENTIFIC EXPLORAT,Hispanic/ Latino,19
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,app,ACADEMY OF SCIENTIFIC EXPLORAT,Hispanic/ Latino,34
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,enr,ACADEMY OF SCIENTIFIC EXPLORAT,All,7
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,adm,ACADEMY OF SCIENTIFIC EXPLORAT,All,19
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,app,ACADEMY OF SCIENTIFIC EXPLORAT,All,36
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,White,3
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,White,11
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,White,16
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,Asian,14
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,Asian,23
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,Asian,32
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,Hispanic/ Latino,6
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,Hispanic/ Latino,10
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,Hispanic/ Latino,15
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,All,25
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,All,47
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,All,66
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,enr,ACADEMY OF THE REDWOODS,White,4
