geoid,name,B19013001,"B19013001, Error"
16000US0612669,"Channel Islands Beach, CA",101007,25026
16000US0612734,"Charter Oak, CA",67375,9654
16000US0612818,"Cherokee, CA",0,0
16000US0612860,"Cherokee Strip, CA",51250,17846
16000US0612902,"Cherryland, CA",54719,4910
16000US0612916,"Cherry Valley, CA",49777,7550
16000US0612930,"Chester, CA",48924,5320
16000US0613014,"Chico, CA",43148,1774
16000US0613077,"Chilcoot-Vinton, CA",0,0
16000US0613157,"China Lake Acres, CA",38229,27295
16000US0613182,"Chinese Camp, CA",0,0
16000US0613210,"Chino, CA",72832,2107
16000US0613214,"Chino Hills, CA",97222,4426
16000US0613294,"Chowchilla, CA",35903,4119
16000US0613364,"Chualar, CA",54306,15300
16000US0613392,"Chula Vista, CA",66956,2157
16000US0613560,"Citrus, CA",63318,6648
16000US0613588,"Citrus Heights, CA",51715,1296
16000US0613756,"Claremont, CA",94005,8779
16000US0613784,"Clarksburg, CA",74435,30205
16000US0613854,"Clay, CA",67305,11896
16000US0613882,"Clayton, CA",136946,7024
16000US0613910,"Clear Creek, CA",0,0
16000US0613945,"Clearlake, CA",25426,1355
16000US0613966,"Clearlake Oaks, CA",29280,4718
16000US0613985,"Clearlake Riviera, CA",41731,20391
16000US0614008,"Cleone, CA",39444,13330
16000US0614106,"Clio, CA",0,0
16000US0614148,"Clipper Mills, CA",0,0
16000US0614190,"Cloverdale, CA",64144,7407
16000US0614218,"Clovis, CA",64640,2525
16000US0614232,"Clyde, CA",0,0
16000US0614260,"Coachella, CA",36124,2197
16000US0614274,"Coalinga, CA",51265,8882
16000US0614288,"Coarsegold, CA",37500,29888
16000US0614302,"Cobb, CA",80726,17089
16000US0614406,"Coffee Creek, CA",51250,13851
16000US0614442,"Cohasset, CA",60902,17475
16000US0614450,"Cold Springs, CA",57250,34783
16000US0614454,"Cold Springs, CA",39417,36952
16000US0614484,"Coleville, CA",0,0
16000US0614498,"Colfax, CA",44004,4513
16000US0614554,"College City, CA",73214,36470
16000US0614708,"Collierville, CA",49841,7017
16000US0614736,"Colma, CA",92589,22663
16000US0614764,"Coloma, CA",77424,31995
16000US0614890,"Colton, CA",43966,2928
16000US0614904,"Columbia, CA",43250,11465
16000US0614946,"Colusa, CA",48877,4066
16000US0614974,"Commerce, CA",42235,3596
16000US0615030,"Comptche, CA",0,0
16000US0615044,"Compton, CA",45406,1799
16000US0616000,"Concord, CA",71477,1893
16000US0616035,"Concow, CA",38393,6332
16000US0616090,"Contra Costa Centre, CA",92906,11711
16000US0616210,"Copperopolis, CA",65500,17011
16000US0616224,"Corcoran, CA",35531,3660
16000US0616322,"Corning, CA",31333,10241
16000US0616350,"Corona, CA",72309,1908
16000US0616378,"Coronado, CA",92413,4915
16000US0616420,"Coronita, CA",83875,20030
16000US0616434,"Corralitos, CA",115244,24299
16000US0616462,"Corte Madera, CA",125915,11134
16000US0616532,"Costa Mesa, CA",70438,2818
16000US0616560,"Cotati, CA",64754,9568
16000US0616580,"Coto de Caza, CA",165046,15076
16000US0616630,"Cottonwood, CA",38556,12018
16000US0616644,"Coulterville, CA",0,0
16000US0616651,"Country Club, CA",43964,3406
16000US0616714,"Courtland, CA",76528,58821
16000US0616728,"Covelo, CA",30380,6781
16000US0616742,"Covina, CA",65451,4503
16000US0616762,"Cowan, CA",0,0
16000US0617022,"Crescent City, CA",27569,3552
16000US0617050,"Crescent Mills, CA",0,0
16000US0617078,"Cressey, CA",53229,24753
16000US0617106,"Crest, CA",70150,16132
16000US0617162,"Crestline, CA",49986,10229
16000US0617232,"Creston, CA",0,0
16000US0617267,"C-Road, CA",80500,32059
16000US0617274,"Crockett, CA",78750,19137
16000US0617288,"Cromberg, CA",35417,21711
16000US0617372,"Crowley Lake, CA",76250,39289
16000US0617428,"Crows Landing, CA",26786,9358
16000US0617498,"Cudahy, CA",39058,1968
16000US0617568,"Culver City, CA",82000,5270
16000US0617610,"Cupertino, CA",147929,8389
16000US0617708,"Cutler, CA",29655,5407
16000US0617722,"Cutten, CA",44914,14837
16000US0617727,"Cuyama, CA",26346,1324
16000US0617750,"Cypress, CA",84469,3836
16000US0617918,"Daly City, CA",79346,3073
16000US0617946,"Dana Point, CA",83913,5079
16000US0617988,"Danville, CA",146603,8731
16000US0617995,"Daphnedale Park, CA",49083,23078
16000US0618030,"Darwin, CA",0,0
16000US0618086,"Davenport, CA",55000,23179
16000US0618100,"Davis, CA",57683,4938
16000US0618153,"Day Valley, CA",80227,20677
16000US0618324,"Deer Park, CA",69821,34989
16000US0618352,"Del Aire, CA",77170,12592
16000US0618394,"Delano, CA",36265,2596
16000US0618450,"Delft Colony, CA",0,0
16000US0618464,"Delhi, CA",48740,5261
16000US0618485,"Delleker, CA",30855,12491
16000US0618506,"Del Mar, CA",108556,20949
16000US0618590,"Del Monte Forest, CA",105208,32002
16000US0618674,"Del Rey, CA",25809,8670
16000US0618688,"Del Rey Oaks, CA",86806,14125
16000US0618695,"Del Rio, CA",122331,54253
16000US0618856,"Denair, CA",58431,9684
16000US0618926,"Derby Acres, CA",51875,28063
16000US0618940,"Descanso, CA",78750,21757
16000US0618982,"Desert Center, CA",57679,55212
16000US0618986,"Desert Edge, CA",25794,5152
16000US0618996,"Desert Hot Springs, CA",34059,2280
16000US0619022,"Desert Palms, CA",55052,9983
16000US0619024,"Desert Shores, CA",32733,18083
16000US0619052,"Desert View Highlands, CA",48750,15791
16000US0619150,"Diablo, CA",169211,117007
16000US0619155,"Diablo Grande, CA",100000,30703
16000US0619192,"Diamond Bar, CA",89845,5203
16000US0619220,"Diamond Springs, CA",57978,9522
16000US0619262,"Dillon Beach, CA",77857,76881
16000US0619318,"Dinuba, CA",38008,2669
16000US0619339,"Discovery Bay, CA",106367,8552
16000US0619402,"Dixon, CA",72383,5294
16000US0619406,"Dixon Lane-Meadow Creek, CA",48611,11540
16000US0619416,"Dobbins, CA",31397,21494
16000US0619440,"Dogtown, CA",75000,16795
16000US0619455,"Dollar Point, CA",69265,10184
16000US0619570,"Dorrington, CA",39464,31552
16000US0619584,"Dorris, CA",28963,1836
16000US0619612,"Dos Palos, CA",36509,5651
16000US0619654,"Dos Palos Y, CA",16656,1119
16000US0619724,"Douglas City, CA",34808,12854
16000US0619766,"Downey, CA",65332,3058
16000US0619794,"Downieville, CA",43125,38555
16000US0619878,"Doyle, CA",28393,20481
16000US0619976,"Drytown, CA",0,0
16000US0619990,"Duarte, CA",65571,6353
16000US0620018,"Dublin, CA",128403,3094
16000US0620032,"Ducor, CA",30288,7982
16000US0620228,"Dunnigan, CA",49700,8067
16000US0620242,"Dunsmuir, CA",32557,8317
16000US0620270,"Durham, CA",71856,17262
16000US0620284,"Dustin Acres, CA",58403,18746
16000US0620298,"Dutch Flat, CA",46750,19290
16000US0620424,"Eagleville, CA",70500,52699
16000US0620438,"Earlimart, CA",23561,3581
16000US0620598,"East Foothills, CA",144479,19168
16000US0620697,"East Hemet, CA",49831,3568
16000US0620802,"East Los Angeles, CA",41193,1153
16000US0620900,"East Nicolaus, CA",27083,23683
16000US0620907,"East Oakdale, CA",108292,14163
16000US0620928,"Easton, CA",54716,21458
16000US0620942,"East Orosi, CA",32313,8172
16000US0620956,"East Palo Alto, CA",55170,2969
16000US0620984,"East Pasadena, CA",90339,20767
16000US0621012,"East Porterville, CA",32715,3415
16000US0621026,"East Quincy, CA",46809,8771
16000US0621034,"East Rancho Dominguez, CA",45854,3556
16000US0621061,"East Richmond Heights, CA",70299,4998
16000US0621096,"East San Gabriel, CA",70339,7706
16000US0621138,"East Shore, CA",61000,29906
16000US0621188,"East Sonora, CA",39583,11070
16000US0621210,"East Tulare Villa, CA",52083,10800
16000US0621230,"Eastvale, CA",104940,6544
16000US0621292,"East Whittier, CA",69676,5413
16000US0621530,"Edgewood, CA",78333,68334
16000US0621558,"Edmundson Acres, CA",45000,25429
16000US0621565,"Edna, CA",68125,61536
16000US0621600,"Edwards AFB, CA",59706,12834
16000US0621712,"El Cajon, CA",46374,1797
16000US0621782,"El Centro, CA",41849,3852
16000US0621796,"El Cerrito, CA",92670,5030
16000US0621810,"El Cerrito, CA",67857,17103
16000US0621880,"El Dorado Hills, CA",125489,7125
16000US0621894,"Eldridge, CA",84861,36188
16000US0621936,"El Granada, CA",125896,20867
16000US0621964,"Elizabeth Lake, CA",54349,12089
16000US0622006,"Elk Creek, CA",39167,4434
16000US0622020,"Elk Grove, CA",83141,1927
16000US0622034,"Elkhorn, CA",103750,52317
16000US0622146,"Elmira, CA",60833,48611
16000US0622230,"El Monte, CA",40654,1127
16000US0622286,"El Nido, CA",31957,5349
16000US0622300,"El Paso de Robles (Paso Robles), CA",61682,3688
16000US0622328,"El Portal, CA",96696,21225
16000US0622360,"El Rancho, CA",0,0
16000US0622370,"El Rio, CA",62542,10352
16000US0622412,"El Segundo, CA",91623,6575
16000US0622454,"El Sobrante, CA",67175,5872
16000US0622457,"El Sobrante, CA",106219,8139
16000US0622510,"El Verano, CA",74870,19602
16000US0622524,"Elverta, CA",54744,10328
16000US0622587,"Emerald Lake Hills, CA",171522,22644
16000US0622594,"Emeryville, CA",74295,6542
16000US0622622,"Empire, CA",35519,8721
16000US0622678,"Encinitas, CA",100698,5669
16000US0622790,"Escalon, CA",65258,13278
16000US0622804,"Escondido, CA",54268,1939
16000US0622846,"Esparto, CA",61607,10743
16000US0622972,"Etna, CA",36548,6009
16000US0623000,"Eucalyptus Hills, CA",80819,15668
16000US0623042,"Eureka, CA",39063,2708
16000US0623126,"Exeter, CA",42590,4309
16000US0623150,"Fairbanks Ranch, CA",134250,65795
