Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,Asian,
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,Asian,9
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,Asian,35
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,Hispanic/ Latino,
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,Hispanic/ Latino,
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,Hispanic/ Latino,13
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,All,5
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,All,13
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,All,67
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,White,
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,White,
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,White,10
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,Asian,7
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,Asian,12
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,Asian,60
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,Hispanic/ Latino,
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,Hispanic/ Latino,
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,Hispanic/ Latino,5
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,All,10
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,All,16
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,All,79
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,White,4
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,adm,AGOURA HIGH SCHOOL,White,8
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,app,AGOURA HIGH SCHOOL,White,58
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,Asian,6
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,adm,AGOURA HIGH SCHOOL,Asian,7
